corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,feynman/I.12.2,64,2,1.367,4.762,9
evogp,feynman/I.12.2,64,4,1.983,6.375,12
evogp,feynman/I.12.2,64,8,3.842,15.306,18
evogp,feynman/I.12.2,64,16,6.245,33.845,20
evogp,feynman/I.12.2,64,32,5.893,39.468,18
evogp,feynman/I.12.2,64,64,5.97,40.126,17
evogp,feynman/I.12.2,64,100,5.994,40.285,16
operon,feynman/I.13.12,64,0,12.423,45.431,28
operon,feynman/I.13.12,64,1,10.774,38.933,28
operon,feynman/I.13.12,64,2,9.363,32.951,27
operon,feynman/I.13.12,64,4,10.368,35.477,28
operon,feynman/I.13.12,64,8,14.989,50.688,29
operon,feynman/I.13.12,64,16,19.636,66.873,30
operon,feynman/I.13.12,64,32,20.839,69.12,30
operon,feynman/I.13.12,64,64,21.775,71.775,29
operon,feynman/I.13.12,64,100,20.134,70.226,29
evogp,feynman/I.13.12,64,0,1.715,6.955,7
evogp,feynman/I.13.12,64,1,1.784,6.582,10
evogp,feynman/I.13.12,64,2,2.264,8.152,10
evogp,feynman/I.13.12,64,4,2.891,11.205,14
evogp,feynman/I.13.12,64,8,5.071,22.13,20
evogp,feynman/I.13.12,64,16,8.455,39.794,23
evogp,feynman/I.13.12,64,32,10.083,45.975,20
evogp,feynman/I.13.12,64,64,9.345,47.908,19
evogp,feynman/I.13.12,64,100,7.858,46.569,19
operon,feynman/II.3.24,64,0,12.423,45.431,28
operon,feynman/II.3.24,64,1,9.936,35.612,28
operon,feynman/II.3.24,64,2,9.04,31.473,27
operon,feynman/II.3.24,64,4,11.698,39.718,28
operon,feynman/II.3.24,64,8,15.822,56.429,30
operon,feynman/II.3.24,64,16,17.732,62.812,30
operon,feynman/II.3.24,64,32,17.898,63.02,31
operon,feynman/II.3.24,64,64,17.917,63.255,32
operon,feynman/II.3.24,64,100,17.489,63.002,31
evogp,feynman/II.3.24,64,0,1.715,6.955,7
evogp,feynman/II.3.24,64,1,1.718,6.468,9
evogp,feynman/II.3.24,64,2,1.656,5.918,10
evogp,feynman/II.3.24,64,4,1.884,7.618,10
evogp,feynman/II.3.24,64,8,3.655,18.31,17
evogp,feynman/II.3.24,64,16,9.232,46.01,18
evogp,feynman/II.3.24,64,32,9.761,48.742,19
evogp,feynman/II.3.24,64,64,9.559,47.867,21
evogp,feynman/II.3.24,64,100,9.297,47.288,18
operon,nguyen/1,64,0,12.423,45.392,28
operon,nguyen/1,64,1,10.176,36.703,28
operon,nguyen/1,64,2,9.833,34.718,28
operon,nguyen/1,64,4,12.656,44.464,28
operon,nguyen/1,64,8,15.056,53.015,28
operon,nguyen/1,64,16,17.541,66.312,27
operon,nguyen/1,64,32,14.751,64.631,24
operon,nguyen/1,64,64,12.695,64.642,22
operon,nguyen/1,64,100,10.596,59.507,24
evogp,nguyen/1,64,0,1.715,6.955,7
evogp,nguyen/1,64,1,1.145,5.512,8
evogp,nguyen/1,64,2,0.783,4.505,7
evogp,nguyen/1,64,4,0.994,7.054,9
evogp,nguyen/1,64,8,1.784,14.891,13
evogp,nguyen/1,64,16,4.182,35.985,14
evogp,nguyen/1,64,32,6.871,40.026,18
evogp,nguyen/1,64,64,5.038,41.951,16
evogp,nguyen/1,64,100,6.136,51.379,13
operon,nguyen/2,64,0,12.423,45.392,28
operon,nguyen/2,64,1,10.186,36.814,28
operon,nguyen/2,64,2,10.701,38.139,29
operon,nguyen/2,64,4,14.224,50.411,29
operon,nguyen/2,64,8,18.285,63.908,29
operon,nguyen/2,64,16,19.026,63.669,28
operon,nguyen/2,64,32,19.433,65.59,29
operon,nguyen/2,64,64,20.744,72.048,28
operon,nguyen/2,64,100,21.863,76.207,28
evogp,nguyen/2,64,0,1.715,6.955,7
evogp,nguyen/2,64,1,1.067,5.183,10
evogp,nguyen/2,64,2,0.906,5.186,9
evogp,nguyen/2,64,4,1.476,9.498,9
evogp,nguyen/2,64,8,1.668,15.052,12
evogp,nguyen/2,64,16,2.826,31.913,12
evogp,nguyen/2,64,32,3.666,41.199,14
evogp,nguyen/2,64,64,3.65,42.849,12
evogp,nguyen/2,64,100,3.867,44.738,12
operon,nguyen/3,64,0,12.423,45.392,28
operon,nguyen/3,64,1,10.195,36.81,28
operon,nguyen/3,64,2,10.514,37.317,29
operon,nguyen/3,64,4,14.34,50.221,29
operon,nguyen/3,64,8,16.949,58.504,29
operon,nguyen/3,64,16,19.983,65.797,29
operon,nguyen/3,64,32,21.011,68.662,30
operon,nguyen/3,64,64,20.436,70.626,30
operon,nguyen/3,64,100,20.334,71.718,29
evogp,nguyen/3,64,0,1.715,6.955,7
evogp,nguyen/3,64,1,1.11,5.394,9
evogp,nguyen/3,64,2,0.961,5.364,9
evogp,nguyen/3,64,4,1.359,9.121,12
evogp,nguyen/3,64,8,1.727,16.799,10
evogp,nguyen/3,64,16,3.611,32.459,13
evogp,nguyen/3,64,32,4.806,41.401,14
evogp,nguyen/3,64,64,5.699,44.593,14
